'entitled' subtree:
id:5, label: VBD - Go suck a dick    , you entitled , 

'ass' subtree:
id:351, label: NN - bitch ass piece 

'bitch' subtree:
id:351, label: NN - bitch ass piece 
id:778, label: NN - Listen here bitch 
id:538, label: NN - Crazy bitch 

'fucking' subtree:
id:450, label: RB - You fucking 
id:33, label: IN - fucking 15 minutes  later  they 're done    
id:970, label: VB - fucking wait to see   
id:259, label: JJ - total fucking 

'piece' subtree:
id:351, label: NN - bitch ass piece 

'I' subtree:
id:12, label: PRP - I 'm Going to   
id:12, label: PRP - ' I Hate You Damned Gays I 'm Going to        
id:515, label: PRP - “ Plain and simple  , if you fuck with me     , I ’m 
id:398, label: PRP - I ’m a hot , horny MILF  who wants to bury your face  in my        
id:970, label: PRP - I personally do n't care who wins    
id:970, label: PRP - I ca n't fucking wait to see     
id:582, label: PRP - I am going to fuck your girlfriend  because you fed       
id:397, label: PRP - I fuck the coconut   
id:397, label: PRP - I blow 

'nobody' subtree:
id:645, label: NN - nobody fixing to help   
id:549, label: NN - nobody wants to  
id:1105, label: NN - u fool nobody 

'fuck' subtree:
id:596, label: VB - fuck all you hating twitter bitches     
id:515, label: VBP - fuck with me  
id:582, label: VB - fuck your girlfriend  because you fed   
id:1035, label: NN - the fuck 
id:397, label: VBP - fuck the coconut  

'blow' subtree:
id:397, label: VBP - I blow 

'dick' subtree:
id:5, label: NN - a dick 

'–' subtree:
id:1105, label: : - u fool nobody  – u tool 
id:1105, label: : - numbered – u fool nobody  – u tool  
id:1105, label: : - they r coming for u dipshit      and ur kids  … ur days  r numbered – u fool nobody  – u tool     – 

'you' subtree:
id:450, label: PRP - you send us  
id:554, label: PRP - kill you 
id:596, label: PRP - you hating twitter bitches   
id:515, label: PRP - you fuck with me   
id:549, label: PRP - And you wo n’t even be a good whore  because nobody wants to      
id:1009, label: PRP - you re riding solo   
id:538, label: PRP - " Crazy bitch  you are going to   
id:5, label: PRP - Go suck a dick    , you entitled , 
id:582, label: PRP - you fed 
id:1035, label: PRP - did you 
id:259, label: PRP - of you 
id:623, label: PRP - you heartless 

'ur' subtree:
id:1105, label: PRP$ - ur kids 
id:1105, label: PRP$ - … ur days 

'doing' subtree:
id:450, label: VBG - doing this shit  

'going' subtree:
id:538, label: VBG - going to 
id:582, label: VBG - going to fuck your girlfriend  because you fed     

'then' subtree:
id:450, label: RB - You fucking  film yourself doing this shit     and then you send us   

'…' subtree:
id:1105, label: : - … ur days 

'mother' subtree:
id:554, label: NN - mother - fucker 

'suck' subtree:
id:5, label: VB - suck a dick  

'shit' subtree:
id:450, label: NN - this shit 

'Constitution' subtree:
id:113, label: NN - your f*** ing Constitution 

'his' subtree:
id:1116, label: PRP$ - his revolver 
id:933, label: PRP$ - his new album 

'guy' subtree:
id:667, label: NN - a white guy 

'hot' subtree:
id:398, label: JJ - a hot , horny MILF 

'even' subtree:
id:549, label: RB - wo n’t even be a good whore  because nobody wants to     

'be' subtree:
id:549, label: VB - be a good whore  because nobody wants to    

'send' subtree:
id:450, label: VBP - send us 

'this' subtree:
id:450, label: DT - this shit 

'that' subtree:
id:259, label: WDT - that is 

'small' subtree:
id:205, label: JJ - a small 

