id;sentence1;sentence2, etc
667;(ROOT (S (PP (IN In) (NP (NP (DT an) (NN article)) (VP (VBN called) (S (S (`` “)) (VP (NNP Fucking) (NP (NNP White) (NNPS Boys)) (ADVP ('' ”))))))) (, ,) (NP (PRP she)) (VP (VBD labeled) (NP (NP (DT a) (JJ white) (NN guy)) (VP (VBN named) (S (NP (NNP Sam))))) (X (DT a)))))
1116;(ROOT (S (S (VP (VBG Pulling) (PRT (RP out)) (NP (PRP$ his) (NN revolver)))) (, ,) (S (NP (NNP Grynszpan)) (VP (VP (VBD fired) (NP (CD five) (NNS times)) (PP (IN at) (NP (NNP vom) (NNP Rath)))) (CC and) (VP (VBD shouted) (, ,) (SBAR (`` “) (S (NP (PRP You)) (VP (VBP are) (X (DT a))))))))))
450;(ROOT (S (S (NP (NP (PRP You)) (ADVP (RB fucking))) (VP (VBP film) (NP (PRP yourself)) (S (VP (VBG doing) (NP (DT this) (NN shit)))))) (CC and) (ADVP (RB then)) (S (NP (PRP you)) (VP (VBP send) (NP (PRP us))))))
557;(ROOT (S (S (NP (NNS Motherfuckers)) (VP (VBD was) (ADJP (RP like)))) (, ,) (`` ') (S (NP (PRP You)) (VP (VBP 're) (NP (DT a) (JJ white))))))
554;(ROOT (S (`` “) (S (NP (PRP They)) (VP (VBD started) (S (VP (NN swearing))))) (, ,) (S (NP (PRP they)) (VP (VBD said) (SBAR (`` ‘) (S (NP (DT all) (NML (NN mother) (HYPH -) (NN fucker)) (NNS refugees)) (, ,) (NP (PRP we)) (VP (MD will) (VP (VB kill) (NP (PRP you)))))))) (, ,)))
596;(ROOT (S (ADVP (RB So)) (VP (VP (VB fuck) (NP (DT all) (SBAR (S (NP (PRP you)) (VP (VBG hating) (NP (NN twitter) (NNS bitches))))))) (, ,) (VP (VB have) (NP (DT a) (JJ great) (NN time)) (S (VP (VBG spending) (NP (NP (DT the) (NN rest)) (PP (IN of) (NP (PRP$ your))))))))))
205;(ROOT (S (S (NP (PRP$ Her) (NNS boobs)) (VP (VBP are) (NP (DT a) (JJ fresh) (NNP C)))) (CC and) (S (NP (PRP she)) (VP (VBZ has) (NP (DT a) (JJ small))))))
12;(ROOT (S (`` ') (NP (PRP I)) (VP (VBP Hate) (S (NP (PRP You)) (VP (JJ Damned) (NP (NP (NNPS Gays)) (SBAR (S (NP (PRP I)) (VP (VBP 'm) (VP (VBG Going) (S (VP (TO to)))))))))))))
645;(ROOT (S (NP (DT Another)) (VP (VBD yelled) (, ,) (`` “) (S (VP (VBZ Ai) (ADVP (RB n’t)) (S (NP (NN nobody)) (VP (VBG fixing) (S (VP (TO to) (VP (VB help)))))))))))
515;(ROOT (S (`` “) (ADJP (JJ Plain) (CC and) (JJ simple)) (, ,) (SBAR (IN if) (S (NP (PRP you)) (VP (VBP fuck) (PP (IN with) (NP (PRP me)))))) (, ,) (NP (PRP I)) (VP (VBP ’m))))
